00:52:35.454774, logger started
00:52:36.833487, [INFO], Starting main loop.
00:52:36.833594, v0, v1, v2, v3, v4, v5, v6, v7, v8, v9, Pressure1, Pressure2, Thrust, Temp
00:52:36.839079, 2.553385,0.355813,0.279657,0.318037,0.270048,0.000000,0.000000,0.000000,0.000000,0.000000,181.843693,23.618503,2059.160290,252.944765,0,0,0,0,0,0,0,1757086828
00:52:36.845723, 2.532822,0.763082,0.623726,0.653792,0.747900,0.000000,0.000000,0.000000,0.000000,0.000000,180.363204,52.941896,4233.038477,588.756163,0,0,0,0,0,0,0,1757086828
00:52:36.945525, 2.532736,1.131439,0.953998,0.976526,1.184621,0.000000,0.000000,0.000000,0.000000,0.000000,180.356973,79.463614,6322.615873,911.102316,0,0,0,0,0,0,0,1757086828
00:52:39.423022, [ERROR], Connection error 192.168.108.42/ws-rpi
00:52:39.423439, [INFO] Controller exiting, resetting GPIOs
00:52:39.424338, [INFO], Program Terminated.
